smiles, logK
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Fe+3]<-[O-]2, 22.87
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Dy+3]<-[O-]2, 17.04
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Co+2]<-[O-]2, 10.96
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Al+3]<-[O-]2, 19.13
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Yb+3]<-[O-]2, 17.35
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Eu+3]<-[O-]2, 16.15
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[V+2]<-[O-]2, 18.70
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Cd+2]<-[O-]2, 10.50
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Ni+2]<-[O-]2, 11.33
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Ga+3]<-[O-]2, 21.83
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Be+2]<-[O-]2, 14.44
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Pb+2]<-[O-]2, 14.62
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Mn+2]<-[O-]2, 10.11
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Sc+3]<-[O-]2, 21.29
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Tb+3]<-[O-]2, 16.99
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Nd+3]<-[O-]2, 16.63
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Er+3]<-[O-]2, 17.24
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Y+3]<-[O-]2, 17.25
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Th+4]<-[O-]2, 21.69
[H]C(=O)[O-]->[Cd+2], 1.72
[H]C(=O)[O-]->[Er+3], 1.78
[H]C(=O)[O-]->[Dy+3], 1.88
[H]C(=O)[O-]->[U+2], 2.47
[H]C(=O)[O-]->[Sm+3], 1.90
[H]C(=O)[O-]->[Tm+3], 1.75
[H]C(=O)[O-]->[Cr+2], 1.07
[H]C(=O)[O-]->[Cr+3], 2.85
[H]C(=O)[O-]->[V+2], 2.59
[H]C(=O)[O-]->[Pu+4], 4.86
[H]C(=O)[O-]->[Ba+2], 0.64
[H]C(=O)[O-]->[Eu+3], 2.07
[H]C(=O)[O-]->[Al+3], 2.25
[H]C(=O)[O-]->[Tb+3], 1.91
[H]C(=O)[O-]->[Hg+2], 3.30
[H]C(=O)[O-]->[Pb+2], 2.24
[H]C(=O)[O-]->[Ni+2], 1.30
[H]C(=O)[O-]->[Nd+3], 1.82
[H]C(=O)[O-]->[Co+2], 1.13
[H]C(=O)[O-]->[Yb+3], 1.73
[H]C(=O)[O-]->[Gd+3], 2.01
[H]C(=O)[O-]->[Zn+2], 1.45
[H]C(=O)[O-]->[Th+4], 4.31
[H]C(=O)[O-]->[La+3], 1.78
[H]C(=O)[O-]->[Fe+3], 2.60
[H]C(=O)[O-]->[Mn+2], 1.41
[H]C(=O)[O-]->[Ho+3], 1.81
[H]C(=O)[O-]->[Sr+2], 0.66
